[1, 2, 3, 5, 9, 32, 102, 191, 247, 276, 288, 310, 318, 326, 330, 334, 337, 339, 341, 341, 342, 343, 344, 345, 346, 346]
[1, 8, 23, 84, 163, 217, 254, 282, 296, 309, 320, 322, 327, 327, 332, 333, 333, 335, 335, 338, 339, 340, 341, 341, 342, 342]
[1, 7, 26, 87, 167, 225, 270, 290, 304, 311, 321, 326, 331, 332, 333, 334, 336, 337, 338, 341, 342, 344, 344, 344, 344, 344]
[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
[1, 2, 5, 11, 32, 89, 165, 223, 253, 271, 284, 299, 309, 318, 323, 328, 330, 334, 335, 337, 337, 339, 339, 341, 341, 342]
[1, 3, 4, 11, 27, 90, 173, 233, 258, 287, 303, 311, 318, 322, 324, 325, 328, 329, 331, 333, 335, 338, 339, 341, 344, 347]
[1, 3, 22, 79, 172, 238, 274, 290, 304, 319, 328, 334, 340, 349, 353, 353, 356, 356, 357, 357, 357, 357, 357, 357, 357, 357]
[1, 11, 28, 86, 179, 245, 281, 298, 315, 325, 336, 340, 343, 344, 348, 349, 352, 354, 360, 360, 360, 360, 360, 360, 360, 360]
[1, 2, 3, 5, 7, 12, 46, 128, 207, 257, 286, 305, 317, 326, 329, 332, 338, 345, 345, 346, 346, 346, 348, 350, 350, 350]
[1, 5, 12, 29, 70, 152, 228, 266, 286, 302, 309, 316, 320, 325, 326, 326, 328, 329, 330, 334, 334, 337, 337, 337, 337, 338]
[1, 2, 4, 11, 37, 106, 181, 244, 268, 278, 292, 299, 308, 313, 313, 314, 319, 323, 323, 324, 325, 327, 328, 328, 328, 329]
[1, 3, 9, 28, 77, 163, 224, 266, 287, 307, 314, 317, 321, 325, 328, 329, 331, 332, 334, 334, 334, 335, 336, 337, 338, 340]
[1, 2, 2, 4, 20, 78, 158, 227, 264, 288, 303, 308, 312, 314, 318, 320, 323, 326, 331, 332, 332, 334, 337, 337, 337, 338]
[1, 5, 16, 49, 112, 205, 254, 276, 296, 307, 316, 324, 327, 330, 332, 335, 340, 342, 344, 344, 345, 345, 347, 347, 347, 348]
[1, 3, 9, 21, 49, 122, 193, 249, 271, 288, 298, 303, 313, 316, 322, 326, 327, 327, 330, 333, 333, 333, 333, 334, 334, 335]
[1, 1, 2, 6, 33, 99, 185, 256, 292, 314, 329, 341, 344, 346, 349, 351, 354, 355, 356, 356, 359, 362, 362, 363, 363, 363]
[1, 6, 8, 19, 40, 101, 178, 240, 280, 302, 314, 325, 334, 337, 344, 347, 352, 355, 355, 357, 358, 358, 358, 358, 360, 360]
[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
[1, 4, 12, 28, 80, 154, 237, 278, 294, 307, 320, 323, 328, 329, 331, 331, 332, 336, 337, 337, 339, 339, 339, 341, 341, 342]
[1, 2, 3, 4, 5, 15, 32, 87, 189, 252, 279, 295, 301, 305, 313, 318, 322, 328, 336, 338, 340, 346, 347, 348, 348, 349]
[1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
[1, 5, 16, 70, 164, 225, 267, 289, 299, 310, 321, 332, 335, 338, 340, 344, 344, 346, 347, 347, 348, 348, 348, 348, 348, 348]
[1, 10, 24, 72, 152, 221, 251, 276, 291, 303, 311, 315, 318, 321, 323, 325, 329, 330, 330, 332, 333, 334, 334, 334, 335, 337]
[1, 11, 50, 111, 191, 242, 270, 289, 301, 313, 323, 328, 328, 329, 332, 333, 335, 335, 337, 341, 344, 345, 345, 345, 346, 348]
